"157";"isMarked";"hat kein Zeichen/hat weißes/gelbes/rotes/grünes/blaues Zeichen/fehlt/nicht vorhanden";"sin marca/marca blanca/amarilla/roja/verde/azul/no hay/ausente";"non marquée/marquée blanc/jaune/rouge/vert/bleu/absente/manquante";"non ha segno/ha segno bianco/giallo/rosso/verde/blu/non c'è/assente";"sem marcação/marcação branca/amarela/vermelha/verde/azul/ausente/sem rainha";"nie ma znak/ma biały/żółty/czerwony/zielony/niebieski znak/nie ma/brak";"is unmarked/marked white/marked yellow/marked red/marked green/marked blue/gone/missing"
"158";"colonySay";"Volk:";"Colonia:";"Colonie :";"Colonia:";"Colónia:";"Rodzina:";"Colony:"
"159";"cOlony";"Volk";"Colonia";"Colonie";"Colonia";"Colónia";"Rodzina";"Colony"
"160";"deadFlight";"sanft/aggressiv/ok/in Schwarmstimmung/in der Traube/tot";"mansa/agresiva/ok/en modo de enjambrazion/en racimo/muerta";"douce/agressive/ok/essaimage/en grappe/morte";"docile/aggressiva/ok/in sciamatura/in glomere/morta";"calma/agressiva/ok/com tendência à enxameação/em cacho/morta";"łagodna/zła/ok/w nastroju do ucieczki/w kłębie/nie żyje";"gentle/aggressive/ok/swarming mood/in a cluster/dead"
"161";"veryWeakStrong";"sehr stark/stark/normal/schwach/sehr schwach";"muy fuerte/fuerte/normal/debil/muy debil";"très forte/forte/normale/faible/très faible";"molto forte/forte/normale/debole/molto debole";"muito forte/forte/normal/fraca/muito fraca";"bardzo silna/silna/norma/słaba/bardzo słaba";"very strong/strong/normal/weak/very weak"
"162";"feedingSay";"Futter:";"Alimentacion:";"Nourrissement :";"Nutrizione:";"Alimentação:";"Pokarm:";"Feeding:"
"163";"syrupOneToOne";"Sirup eins zu eins";"Jarabe uno a uno";"Sirop un pour un";"Sciroppo uno a uno";"Xarope um para um";"Syrop jeden do jednego";"syrup one to one"
"164";"point";"Komma";"coma";"virgule";"virgola";"vírgula";"przecinek";"point"
"165";"liters";"Liter";"litros";"litres";"litri";"litros";"litr";"liters"
"166";"syrupThreeToTwo";"Sirup drei zu zwei";"Jarabe tres a dos";"Sirop trois pour deux";"Sciroppo tre a due";"Xarope três para dois";"Syrop trzy do dwóch";"syrup three to two"
"167";"lEftFood";"Verblieben";"Queda";"Restant";"Rimasto";"Restou";"Zostało";"Left food"
"168";"rEmoveFood";"Entfernen";"Retirar";"Retirer";"Rimuovi";"Remover";"Usuń";"Remove food"
"169";"treatmentSay";"Behandlung:";"Tratamiento:";"Traitement :";"Trattamento:";"Tratamento:";"Leczenie:";"Treatment:"
"170";"apivarolChemistry";"Chemie";"Quimica";"Chimie";"Chimica";"Química";"Chemia";"Apivarol/chemistry"
"171";"dosePortionPart";"Dosis/Portion";"dosis/porcion";"dose/portion";"dose/porzione";"dose/porção";"dawka/porcja";"dose/portion/part"
"172";"first";"1.";"1.";"1er";"1°";"1.º";"1.";"1st"
"173";"remove";"entfernen";"retirar";"retirer";"rimuovi";"remover";"usuń";"remove"
"174";"remove1";"entfernt";"retirado";"retiré";"rimosso";"removido";"usunięty";"removed"
"175";"vArroa";"Milben";"Varroa";"Varroa";"Varroa";"Varroa";"Roztocza";"Varroa"
"176";"bee";"";"";"";"";"";"";"bee "
"177";"dateSay";"Datum - sagen Sie z.B.:";"Fecha - di p.ej.:";"Date - dites par ex. :";"Data - dì ad es.:";"Data - diga p. ex.:";"Data - powiedz np.:";"Date - say e.g.:"
"178";"setOther";"Anderes einstellen";"Establecer otra";"Définir autre";"Imposta altra";"Definir outra";"Ustaw inny";"Set other"
"179";"current";"aktuelles";"actual";"actuelle";"attuale";"atual";"prawdziwą";"current"
"180";"datee";"Datum";"fecha";"date";"data";"data";"datę";"date"
"181";"helpSay";"Hilfe:";"Ayuda:";"Aide :";"Aiuto:";"Ajuda:";"Pomóż:";"Help:"
"182";"forPreciseHelp";"für genauere Hilfe sagen Sie z.B.:";"para ayuda mas precisa di p.ej.:";"pour une aide précise, dites par ex. :";"per un aiuto più preciso dì ad es.:";"para ajuda mais precisa, diga p. ex.:";"dla doprecyzowania zakresu pomocy powiedz np.:";"for precise help say e.g.:"
"183";"eQuipment";"Ausrüstung";"Equipamiento";"Équipement";"Attrezzatura";"Equipamento";"Wyposażenie";"Equipment"
"184";"fEeding";"Futter";"Alimentacion";"Nourrissement";"Nutrizione";"Alimentação";"Pokarm";"Feeding"
"185";"tReatment";"Behandlung";"Tratamiento";"Traitement";"Trattamento";"Tratamento";"Leczenie";"Treatment"
"186";"dAte";"Datum";"Fecha";"Date";"Data";"Data";"Data";"Date"
"187";"closeHelp";"Hilfe schließen";"Cerrar ayuda";"Fermer l'aide";"Chiudi aiuto";"Fechar ajuda";"Zamknij pomoc";"Close help"
"188";"me";"mir";"me";"moi";"mi";"me";"mi";"me"
"189";"legend";"Legende";"Leyenda";"Légende";"Legenda";"Legenda";"Legenda";"Legend"
"190";"normalOr";"Normal oder";"Normal o";"Normal ou";"Normale o";"Normal ou";"Normalny lub";"Normal or"
"191";"bold";"fett";"negrita";"gras";"grassetto";"negrito";"pogrubiony";"bold"
"192";"requiredText";"erforderlicher Text";"texto obligatorio";"texte requis";"testo obbligatorio";"texto obrigatório";"tekst wymagany";"required text"
"193";"italic";"Kursiv";"Cursiva";"Italique";"Corsivo";"Itálico";"Pochylony";"Italic"
"194";"optionalText";"Text ist nicht erforderlich";"texto opcional";"texte optionnel";"testo facoltativo";"texto não obrigatório";"text nie jest wymagany";"optional text"
"195";"text1Text2";"Text1/Text2";"Texto1/texto2";"Texte1/texte2";"Testo1/testo2";"Texto1/texto2";"Tekst1/tekst2";"Text1/text2"
"196";"selectableText";"wählbarer Text";"texto seleccionable";"texte sélectionnable";"testo selezionabile";"texto selecionável";"tekst do wyboru";"selectable text"
"197";"sampleValue";"Beispielwert";"valor de ejemplo";"valeur exemple";"valore di esempio";"valor de exemplo";"przykładowa wartość";"sample value"
"198";"workFrame";"Arbeitsrahmen";"cuadro de trabajo";"cadre de travail";"telaino di lavoro";"quadro de trabalho";"ramka pracy";"work frame"
"199";"tryingToConnect";"Verbindungsversuch";"Intentando conectar";"Tentative de connexion";"Tentativo di connessione";"A tentar ligar";"Próba połączenia";"Trying to connect"
"200";"theStoreIs";"Der Store ist";"La tienda esta";"Le magasin est";"Il negozio è";"A loja está";"Sklep jest";"The store is"
"201";"available";"verfügbar";"disponible";"disponible";"disponibile";"disponível";"dostępny";"available"
"202";"unavailable";"nicht verfügbar";"no disponible";"indisponible";"non disponibile";"indisponível";"niedostępny";"unavailable"
"203";"notConnected";"Keine Verbindung";"Sin conexion";"Non connecté";"Non connesso";"Sem ligação";"Brak połączenia";"Not connected"
"204";"fetchingProducts";"Produkte werden geladen";"Obteniendo productos";"Chargement des produits";"Caricamento prodotti";"A obter produtos";"Pobieranie produktów";"Fetching products"
"205";"productsForSale";"Produkte zum Verkauf";"Productos en venta";"Produits en vente";"Prodotti in vendita";"Produtos à venda";"Produkty na sprzedaż";"Products for Sale"
"206";"notFound";"nicht gefunden";"no encontrado";"non trouvé";"non trovato";"não encontrado";"nie znaleziono";"not found"
"207";"fetchingConsumables";"Verbrauchsmaterialien werden geladen";"Obteniendo consumibles";"Chargement des consommables";"Caricamento materiali di consumo";"A obter materiais consumíveis";"Pobieranie materiałów eksploatacyjnych";"Fetching consumables"
"208";"purchasedConsumables";"Gekaufte Verbrauchsmaterialien";"Consumibles comprados";"Consommables achetés";"Materiali di consumo acquistati";"Materiais consumíveis comprados";"Zakupione materiały eksploatacyjne";"Purchased consumables"
"209";"restorePurchases";"Käufe wiederherstellen";"Restaurar compras";"Restaurer les achats";"Ripristina acquisti";"Restaurar compras";"Przywróć zakupy";"Restore purchases"
"210";"priceChangeAccepted";"Preisänderung akzeptiert";"Cambio de precio aceptado";"Changement de prix accepté";"Modifica prezzo accettata";"Alteração de preço aceite";"Zmiana ceny zaakceptowana";"Price change accepted"
"211";"priceChangeFailedWithCode";"Preisänderung fehlgeschlagen mit Code";"Cambio de precio fallido con codigo";"Le changement de prix a échoué avec le code";"Modifica prezzo non riuscita con codice";"Alteração de preço falhou com código";"Zmiana ceny nie powiodła się z kodem";"Price change failed with code"
"212";"settings";"Einstellungen";"Ajustes";"Paramètres";"Impostazioni";"Definições";"Ustawienia";"Settings"
"213";"import";"Datenimport aus der Cloud";"Importar datos desde la nube";"Importation des données depuis le cloud";"Importa dati dal cloud";"Importar dados da nuvem";"Import danych z chmury";"Data import from the cloud"
"214";"importuj";"Importieren";"Importar";"Importer";"Importa";"Importar";"Importuj";"Import"
"215";"brakInternetu";"Kein Internet";"Sin internet";"Pas d'Internet";"Nessuna connessione Internet";"Sem internet";"Brak internetu";"No internet"
"216";"uruchomPonownie";"Stellen Sie die Internetverbindung her und versuchen Sie es erneut";"Activa la conexion a internet e intentalo de nuevo";"Rétablissez la connexion Internet et réessayez";"Attiva la connessione Internet e riprova";"Ligue a internet e tente novamente";"Uruchom połączenie z internetem i spróbuj ponownie";"Restart your internet connection and try again"
"217";"importowanie";"Die Cloud-Daten werden zur lokalen Datenbank hinzugefügt";"Los datos de la nube se agregaran a la base de datos local";"Les données du cloud seront ajoutées à la base de données locale";"I dati dal cloud verranno aggiunti al database locale";"Os dados da nuvem serão adicionados à base de dados local";"Dane z chmury zostaną dodane do bazy lokalnej";"Data from cloud will be added to the local database"
"218";"exportNewToCloud";"Neue Daten in die Cloud exportieren";"Exportar datos nuevos a la nube";"Exportation des nouvelles données vers le cloud";"Esportazione nuovi dati nel cloud";"Exportar novos dados para a nuvem";"Eksport nowych danych do chmury";"Exporting new data to the cloud"
"219";"autoEksportDoChmury";"Automatischer Datenexport";"Exportacion automatica de datos";"Exportation automatique des données";"Esportazione automatica dei dati";"Exportação automática de dados";"Automatyczny eksport danych";"Automatic data export"
"220";"onlyInspection";"Beim Start der App werden automatisch nur Detaildaten zu Rahmendurchsichten, Ausrüstung, Volk, Königinnen, Ernten, Fütterung und Behandlung in die Cloud gesendet.  Notizen, Ernten, Einkäufe, Verkäufe und Fotos werden nicht gesendet.";"al iniciar la aplicacion, solo se envian automaticamente a la nube los datos detallados sobre cuadros, equipamiento, colonias, reinas, cosechas, alimentacion y tratamiento.  No se envian Notas, Cosechas, Compras, Ventas ni Fotos.";"après le lancement de l'application, seules les données détaillées concernant les cadres, l'équipement, les colonies, les reines, les récoltes, le nourrissement et le traitement sont envoyées automatiquement au cloud.  Les Notes, Récoltes, Achats, Ventes et Photos ne sont pas envoyés.";"dopo l'avvio dell'applicazione, vengono inviati automaticamente al cloud solo i dati dettagliati relativi a ispezione dei telai, attrezzatura, colonia, regine, raccolti, nutrizione e trattamento.  Non vengono inviate Note, Raccolti, Acquisti, Vendite e Foto.";"após iniciar a aplicação, apenas os dados detalhados sobre inspeção de quadros, equipamento, colónia, rainhas, colheitas, alimentação e tratamento são enviados automaticamente para a nuvem.  Notas, Colheitas, Compras, Vendas e Fotografias não são enviadas.";"po uruchomieniu aplikacji do chmury wysyłane są automatycznie tylko dane szczegółowe dotyczące przegladu ramek, wyposażenia, rodziny, matek, zbiorów, dokarmiania i leczenia.  Nie są wysyłane Notatki, Zbiory, Zakupy, Sprzedaż i Zdjęcia.";"after launching the application, only detailed data regarding frames, equipment, families, queens, harvests, feeding, and treatment is automatically sent to the cloud. Notes, Harvest, Purchases, Sales and Photos are not sent."
"221";"zarzadzanieDanymi";"Datenverwaltung";"Gestion de datos";"Gestion des données";"Gestione dati";"Gestão de dados";"Zarządzanie danymi";"Data management"
"222";"dopisanieDoBazy";"zur lokalen Datenbank hinzufügen";"agregar a la base de datos local";"ajout à la base de données locale";"aggiunta al database locale";"adição à base de dados local";"dopisanie do bazy lokalnej";"adding to the local database"
"223";"powrotBezZmian";"Zurück ohne Änderungen";"Volver sin cambios";"Retour sans modification";"Ritorno senza modifiche";"Voltar sem alterações";"Powrót bez zmian";"Return unchanged"
"224";"bezPrzegladu";"ohne Durchsicht";"sin inspeccion";"sans inspection";"senza ispezione";"sem inspeção";"bez przeglądu";"without review"
"225";"harvest";"Ernte";"cosechas";"récoltes";"raccolti";"colheitas";"zbiory";"harvests"
"226";"portion";"Portion";"porcion";"portion";"porzione";"porção";"porcja";"portion"
"227";"frames";"Rahmen";"cuadros";"cadres";"telai";"quadros";"ramki";"frames"
"228";"frames2";"Rahmen";"cuadros";"cadres";"telai";"quadros";"ramek";"frames"
"229";"harvestSay";"Ernte:";"Cosechas:";"Récoltes :";"Raccolto:";"Colheitas:";"Zbiory:";"Harvest:"
"230";"from";"von";"desde";"de";"da";"de";"od";"from"
"231";"to";"bis";"hasta";"à";"a";"até";"do";"to"
"232";"honeyHarvest";"Honigernte/Schleudern";"Cosecha de miel";"Récolte de miel";"Raccolta del miele/smielatura";"Colheita de mel";"Zbiór miodu/miodobranie";"Honey harvest"
"233";"razy";"mal";"veces";"fois";"volte";"vezes";"razy";""
"234";"miarka";"Messbecher";"medida";"mesure";"misurino";"medida";"miarka";"portion"
"235";"beePollenHarvest";"Pollenernte";"Cosecha de polen";"Récolte de pollen";"Raccolta del polline";"Colheita de pólen";"Zbiór pyłku";"Bee pollen harvest"
"236";"trut";"Drohn.";"zangano";"mâle";"fuco";"zangão";"trut";"drone"
"237";"covered";"verdeckelt";"operculada";"operculé";"opercolata";"operculada";"kryty";"covered"
"238";"bRood";"Brut";"Cria";"Couvain";"Covata";"Cria";"Czerw";"brood"
"239";"hArvest";"Ernte";"Cosecha";"Récolte";"Raccolto";"Colheita";"Zbiór";"Harvest"
"240";"about";"Über die App";"Acerca de la aplicacion";"À propos de l'application";"Informazioni sull'app";"Sobre a aplicação";"O aplikacji";"About app"
"241";"versionApp";"App-Version: ";"Version de la aplicacion: ";"Version de l'application : ";"Versione dell'app: ";"Versão da aplicação: ";"Wersja aplikacji: ";"App version: "
"242";"activationCode";"Aktivierungscode: ";"Codigo de activacion: ";"Code d'activation : ";"Codice di attivazione: ";"Código de ativação: ";"Kod aktywacyjny: ";"Activation code: "
"243";"subscryptionTo";"Abonnement bis: ";"Suscripcion hasta: ";"Abonnement jusqu'au : ";"Abbonamento fino al: ";"Subscrição até: ";"Subskrypcja do: ";"Subscryption to: "
"244";"onlyNew";"nur bisher nicht gesendete, aus allen Kategorien";"solo los no enviados anteriormente, de todas las categorias";"uniquement les données non envoyées précédemment, de toutes les catégories";"solo quelli non inviati in precedenza, da tutte le categorie";"apenas os não enviados anteriormente, de todas as categorias";"tylko wcześniej nie wysyłanych, ze wszystkich kategorii";"only not previously shipped, from all categories"
"245";"exportNewData";"Es werden nur Daten gesendet, die noch nicht gesendet wurden";"Solo se enviaran los datos que aun no han sido enviados";"Seules les données qui n'ont pas encore été envoyées seront envoyées";"Verranno inviati solo i dati che non sono stati ancora inviati";"Serão enviados apenas os dados que ainda não foram enviados";"Wysłane zostaną tylko dane, które nie były jeszcze wysyłane";"Only data that has not yet been sent will be sent"
"246";"eXport";"Exportieren";"Exportar";"Exporter";"Esporta";"Exportar";"Eksportuj";"Export"
"247";"noDataToSend";"Keine neuen Daten zum Senden";"No hay datos nuevos para enviar";"Aucune nouvelle donnée à envoyer";"Nessun nuovo dato da inviare";"Sem novos dados para enviar";"Brak nowych danych do wysłania";"No new data to send"
"248";"dataToSend";"Anzahl der zu sendenden Datensätze";"Numero de registros enviados";"Nombre d'enregistrements envoyés";"Numero di record da inviare";"Número de registos a enviar";"Ilość wysyłanych rekordów";"Number of records sent"
"249";"noInfosToArch";"Keine neuen Informationen zum Archivieren";"No hay informacion nueva para archivar";"Aucune nouvelle information à archiver";"Nessuna nuova informazione da archiviare";"Sem novas informações para arquivar";"Brak nowych informacji do archiwizacji";"No new info to archive"
"250";"aCtivation";"Aktivierung";"Activacion";"Activation";"Attivazione";"Ativação";"Aktywacja";"Activation"
"251";"refreshActivation";"Aktivierung aktualisieren";"Actualizar activacion";"Actualiser l'activation";"Aggiorna attivazione";"Atualizar ativação";"Odśwież aktywację";"Refresh activation"
"252";"inspectionDataSend";"Durchsichtsdaten wurden gesendet";"Los datos de inspecciones han sido enviados";"Les données d'inspection ont été envoyées";"I dati delle ispezioni sono stati inviati";"Os dados de inspeções foram enviados";"Dane o przegladach zostały wysłane";"Inspection data has been sent"
"253";"infoDataSend";"Informationsdaten wurden gesendet";"Los datos de informacion han sido enviados";"Les données d'information ont été envoyées";"I dati informativi sono stati inviati";"Os dados informativos foram enviados";"Dane informacyje zostały wysłane";"Info data has been sent"
"254";"exportAllData";"Alle Daten werden gesendet - die Cloud-Daten werden durch die gesendeten Daten ersetzt.";"Se enviaran todos los datos - los datos en la nube seran reemplazados por los datos enviados.";"Toutes les données seront envoyées - les données dans le cloud seront remplacées par les données envoyées.";"Verranno inviati tutti i dati - i dati nel cloud saranno sostituiti con i dati inviati.";"Todos os dados serão enviados - os dados na nuvem serão substituídos pelos dados enviados.";"Wysłane zostaną wszystkie dane - dane w chmurze zostaną zastąpione danymi wysyłanymi.";"All data will be sent - data in the cloud will be replaced with data sent."
"255";"exportDataToCloud";"Die Cloud-Daten werden durch die gesendeten Daten ersetzt";"Los datos en la nube seran reemplazados por los datos enviados";"Les données dans le cloud seront remplacées par les données envoyées";"I dati nel cloud saranno sostituiti con i dati inviati";"Os dados na nuvem serão substituídos pelos dados enviados";"Dane w chmurze zostaną zastąpione danymi wysyłanymi";"Data in the cloud will be replaced with data sent"
"256";"exportAllToCloud";"Alle Daten in die Cloud exportieren";"Exportar todos los datos a la nube";"Exportation de toutes les données vers le cloud";"Esporta tutti i dati nel cloud";"Exportar todos os dados para a nuvem";"Eksport wszystkich danych do chmury";"Export all data to the cloud"
"257";"importEnd";"Datenimport abgeschlossen";"Importacion de datos completada";"Importation des données terminée";"Importazione dei dati completata";"Importação de dados concluída";"Zakończono import danych";"Data import completed"
"258";"dataImport";"Datenimport aus der Cloud";"Importar datos desde la nube";"Importation des données depuis le cloud";"Importa dati dal cloud";"Importar dados da nuvem";"Import danych z chmury";"Data import from the cloud"
"259";"unablaToSend";"Daten können nicht in die Cloud gesendet werden - kein Internet.";"No se pueden enviar datos a la nube - sin internet.";"Impossible d'envoyer les données vers le cloud - pas d'Internet.";"Impossibile inviare dati al cloud - nessuna connessione Internet.";"Não é possível enviar dados para a nuvem - sem internet.";"Nie można wysłać danych do chmury - brak internetu.";"Unable to send data to the cloud - no internet."
"260";"editFrame";"Rahmeninhalt bearbeiten";"Edicion del contenido del cuadro";"Édition du contenu du cadre";"Modifica contenuto del telaino";"Edição do conteúdo do quadro";"Edycja zawartości ramki";"Edit frame item"
"261";"toExtraction";"muss geschleudert werden";"para extraer";"à extraire";"da smelare";"para centrifugar";"trzeba wirować";"to extraction"
"262";"toDelete";"muss entfernt werden";"para eliminar";"à supprimer";"da rimuovere";"para remover";"trzeba usunąć";"to delete"
"263";"toInsulate";"kann isoliert werden";"para aislar";"à isoler";"da isolare";"para isolar";"można izolować";"to insulate"
"264";"deleted";"Rahmen entfernen";"eliminar cuadro";"supprimer cadre";"rimuovi telaino";"remover quadro";"usuń ramka";"deleted"
"265";"inserted";"Rahmen einfügen";"insertar cuadro";"insérer cadre";"inserisci telaino";"inserir quadro";"wstaw ramka";"inserted"
"266";"insert";"einfügen";"insertar";"insérer";"inserisci";"inserir";"wstaw";"insert"
"267";"iNsert";"Einfügen";"Insertar";"Insérer";"Inserisci";"Inserir";"Wstaw";"Insert"
"268";"insulated";"Isolation";"aislamiento";"isolation";"isolamento";"isolamento";"izolacja";"insulated"
"269";"movedLeft";"nach links schieben";"mover a la izquierda";"déplacer à gauche";"sposta a sinistra";"mover à esquerda";"przesuń w lewo";"moved left"
"270";"movedRight";"nach rechts schieben";"mover a la derecha";"déplacer à droite";"sposta a destra";"mover à direita";"przesuń w prawo";"moved right"
"271";"replace";"Ersetzen";"Reemplazar";"Remplacer";"Sostituisci";"Substituir";"Zamień";"Replace"
"272";"saveZ";"Speichern";"Guardar";"Enregistrer";"Salva";"Guardar";"Zapisz";"Save"
"273";"addingNewEntry";"Neuen Eintrag hinzufügen";"Agregar nueva entrada";"Ajout d'une nouvelle entrée";"Aggiunta di una nuova voce";"Adicionar novo registo";"Dodawanie nowego wpisu";"Adding a new entry"
"274";"selectEntryType";"Art des Eintrags wählen";"Selecciona el tipo de entrada";"Sélectionnez le type d'entrée";"Seleziona il tipo di voce";"Selecione o tipo de registo";"Wybierz rodzaj wpisu";"Select an entry type"
"275";"resourceOnFrame";"Vorräte auf dem Rahmen";"Recursos en el cuadro";"Ressources sur le cadre";"Risorse sul telaino";"Recursos no quadro";"Zasoby na ramce";"Resources on frame"
"276";"resourceOnFramePlus";"Vorräte auf dem Rahmen +";"Recursos en el cuadro +";"Ressources sur le cadre +";"Risorse sul telaino +";"Recursos no quadro +";"Zasoby na ramce +";"Resources on frame +"
"277";"toDO";"Zu erledigen";"Por hacer";"À faire";"Da fare";"A fazer";"Do zrobienia";"To do"
"278";"itWasDone";"Wurde erledigt";"Ha sido hecho";"C'est fait";"È stato fatto";"Foi feito";"Zostało zrobione";"It was done"
"279";"edited";"bearbeitet";"editado";"modifié";"modificato";"editado";"edytowany";"edited"
"280";"pleaseWait";"bitte warten";"por favor espera";"veuillez patienter";"attendere prego";"por favor aguarde";"proszę czekać";"please wait"
"281";"noHarvestYet";"Es gibt noch keine Ernten.";"Aun no hay cosechas.";"Il n'y a pas encore de récoltes.";"Non ci sono ancora raccolti.";"Ainda não existem colheitas.";"Nie ma jeszcze żadnych zbiorów.";"There are no harvest yet."
"282";"editHarvest";"Ernte bearbeiten";"Edicion de cosecha";"Édition de la récolte";"Modifica raccolto";"Edição da colheita";"Edycja zbioru";"Harvest edition"
"283";"perga";"Bienenbrot";"pan de abeja";"pain d'abeilles";"pane d'api";"perga";"pierzga";"perga"
"284";"wax";"Wachs";"cera";"cire";"cera";"cera";"wosk";"wax"
"285";"hArvests";"Ernten";"Cosechas";"Récoltes";"Raccolti";"Colheitas";"Zbiory";"Harvests"
"286";"inspectionDate";"Datum der Durchsicht";"Fecha de inspeccion";"Date d'inspection";"Data ispezione";"Data da inspeção";"Data przeglądu";"Inspection date"
"287";"harvestDate";"Erntedatum";"Fecha de cosecha";"Date de récolte";"Data raccolto";"Data da colheita";"Data zbioru";"Harvest date"
"288";"enter";"eingeben";"introduce";"entrez";"inserisci";"introduza";"wpisz";"enter"
"289";"yYYY";"JJJJ";"AAAA";"AAAA";"AAAA";"AAAA";"RRRR";"YYYY"
"290";"apiaryNr";"Bienenstandnummer";"Numero de colmenar";"Numéro du rucher";"Numero apiario";"Número do apiário";"Numer pasieki";"Apiary number"
"291";"hIveNr";"Beutennummer";"Numero de colmena";"Numéro de la ruche";"Numero arnia";"Número da colmeia";"Numer ula";"Hive number"
"292";"hiveNr";"Beute Nr.";"n.o colmena";"n° ruche";"n. arnia";"n.º colmeia";"nr ula";"hive nr"
"293";"bodyNr";"Zarge Nr.";"n.o alza";"n° hausse";"n. melario";"n.º alça";"nr korpusu";"body nr"
"294";"frameNr";"Rahmen Nr.";"n.o cuadro";"n° cadre";"n. telaino";"n.º quadro";"nr ramki";"frame nr"
"295";"changeFrame";"Rahmennr. ändern";"cambiar n.o cuadro";"changer n° cadre";"cambia n. telaino";"alterar n.º quadro";"zmień nr ramki";"change frame nr"
"296";"moveFrame";"Rahmen verschieben";"mover cuadro";"déplacer le cadre";"sposta telaino";"mover quadro";"przenieś ramkę";"move frame"
"297";"sIze";"Größe";"Tamano";"Taille";"Dimensione";"Tamanho";"Rozmiar";"Size"
"298";"quantity";"Menge";"cantidad";"quantité";"quantità";"quantidade";"ilość";"quantity"
"299";"pcs";"Stk.";"uds.";"pcs";"pz.";"un.";"szt.";"pcs."
"300";"cOmments";"Bemerkungen";"Observaciones";"Remarques";"Note";"Observações";"Uwagi";"Comments"
"301";"comments";"Bemerkungen";"observaciones";"remarques";"note";"observações";"uwagi";"comments"
"302";"beePollen";"Pollen";"polen";"pollen";"polline";"pólen";"pyłek";"bee pollen"
"303";"editingHarvest";"Ernte bearbeiten";"Edicion de cosecha";"Édition de la récolte";"Modifica raccolto";"Edição da colheita";"Edycja zbioru";"Editing harvest"
"304";"addHarvest";"Ernte hinzufügen";"Agregar cosecha";"Ajouter une récolte";"Aggiungi raccolto";"Adicionar colheita";"Dodaj zbiór";"Add harvest"
"305";"pArameterization";"Parametrierung";"Parametrizacion";"Paramétrage";"Parametrizzazione";"Parametrização";"Parametryzacja";"Parameterization"
"306";"beePollenZbior";"Pollenernte";"cosecha de polen";"récolte de pollen";"raccolta polline";"colheita de pólen";"zbiór pyłku";"Bee pollen harvest"
"307";"honeyZbior";"Honigernte";"cosecha de miel";"récolte de miel";"raccolta miele";"colheita de mel";"zbiór miodu";"Honey harvest"
"308";"queenColors";"Schwarz/gelb/rot/grün/blau/weiß";"Negra/amarilla/roja/verde/azul/blanca";"Noire/jaune/rouge/verte/bleue/blanche";"Nera/gialla/rossa/verde/blu/bianca";"Preta/amarela/vermelha/verde/azul/branca";"Czarna/żółta/czerwona/zielona/niebieska/biała";"black/yellow/red/green/blue/white"
"309";"earlier";"früher";"antes";"plus tôt";"prima";"antes";"wcześniej";"earlier"
"310";"later";"später";"despues";"plus tard";"dopo";"depois";"później";"later"
"311";"celsius";"Celsius";"Celsius";"Celsius";"Celsius";"Celsius";"Celsjusz";"Celsius"
"312";"kelvin";"Kelvin";"Kelvin";"Kelvin";"Kelvin";"Kelvin";"Kelwin";"Kelvin"
"313";"fahrenheit";"Fahrenheit";"Fahrenheit";"Fahrenheit";"Fahrenheit";"Fahrenheit";"Fahrenheit";"Fahrenheit"
"314";"pogodaNieaktualna";"Keine Internetverbindung - Wetterdaten sind möglicherweise nicht aktuell.";"Sin conexion a internet - los datos meteorologicos pueden no estar actualizados.";"Pas de connexion Internet - les données météo peuvent être obsolètes.";"Nessuna connessione Internet - i dati meteo potrebbero non essere aggiornati.";"Sem ligação à Internet - os dados meteorológicos podem estar desatualizados.";"Brak połączenia z Internetem - dane o pogodzie mogą być nieaktualne.";"No internet connection - weather data may be out of date."
"315";"temperatureUnit";"Temperatureinheit";"Unidad de temperatura";"Unité de température";"Unità di temperatura";"Unidade de temperatura";"Jednostka temperatury";"Temperature unit"
"316";"longitude";"Längengrad";"Longitud geografica";"Longitude";"Longitudine";"Longitude";"Długość geograficzna";"Longitude"
"317";"latitude";"Breitengrad";"Latitud geografica";"Latitude";"Latitudine";"Latitude";"Szerokość geograficzna";"Latitude"
"318";"city";"Stadt";"Ciudad";"Ville";"Città";"Cidade";"Miasto";"City"
